topic_id,topic_label,rank,keyword,probability
0,기기 오작동/소음/설정 문제,1,수납,0.0381
0,기기 오작동/소음/설정 문제,2,추천,0.0291
0,기기 오작동/소음/설정 문제,3,이사,0.0289
0,기기 오작동/소음/설정 문제,4,냉장고,0.0281
0,기기 오작동/소음/설정 문제,5,주방,0.0236
0,기기 오작동/소음/설정 문제,6,광파오븐,0.0198
0,기기 오작동/소음/설정 문제,7,침대,0.0181
0,기기 오작동/소음/설정 문제,8,식탁,0.0161
0,기기 오작동/소음/설정 문제,9,책상,0.0159
0,기기 오작동/소음/설정 문제,10,견적,0.0143
0,기기 오작동/소음/설정 문제,11,지대,0.0124
0,기기 오작동/소음/설정 문제,12,가구,0.0123
0,기기 오작동/소음/설정 문제,13,예정,0.0115
0,기기 오작동/소음/설정 문제,14,의자,0.0109
0,기기 오작동/소음/설정 문제,15,서랍,0.0101
1,주방 공간 배치 및 인테리어 고민,1,오븐,0.1136
1,주방 공간 배치 및 인테리어 고민,2,광파오븐,0.0641
1,주방 공간 배치 및 인테리어 고민,3,전자레인지,0.0456
1,주방 공간 배치 및 인테리어 고민,4,빌트,0.0268
1,주방 공간 배치 및 인테리어 고민,5,추천,0.0201
1,주방 공간 배치 및 인테리어 고민,6,엘지,0.0189
1,주방 공간 배치 및 인테리어 고민,7,인덕션,0.0172
1,주방 공간 배치 및 인테리어 고민,8,설치,0.0157
1,주방 공간 배치 및 인테리어 고민,9,베이,0.0157
1,주방 공간 배치 및 인테리어 고민,10,시간,0.0121
1,주방 공간 배치 및 인테리어 고민,11,멀티탭,0.0106
1,주방 공간 배치 및 인테리어 고민,12,레인지,0.0103
1,주방 공간 배치 및 인테리어 고민,13,문제,0.0103
1,주방 공간 배치 및 인테리어 고민,14,콘센트,0.0099
1,주방 공간 배치 및 인테리어 고민,15,온도,0.0094
2,신축/이사 입주 시 가전 선택,1,오븐,0.0363
2,신축/이사 입주 시 가전 선택,2,쿠키,0.0278
2,신축/이사 입주 시 가전 선택,3,머랭,0.0202
2,신축/이사 입주 시 가전 선택,4,레시피,0.0176
2,신축/이사 입주 시 가전 선택,5,검사,0.0165
2,신축/이사 입주 시 가전 선택,6,계란,0.0161
2,신축/이사 입주 시 가전 선택,7,버터,0.0124
2,신축/이사 입주 시 가전 선택,8,그냥,0.0123
2,신축/이사 입주 시 가전 선택,9,다른,0.0118
2,신축/이사 입주 시 가전 선택,10,추천,0.0106
2,신축/이사 입주 시 가전 선택,11,지역,0.0104
2,신축/이사 입주 시 가전 선택,12,냄새,0.0103
2,신축/이사 입주 시 가전 선택,13,삼성,0.0099
2,신축/이사 입주 시 가전 선택,14,계속,0.0099
2,신축/이사 입주 시 가전 선택,15,바로,0.0095
3,이사/생활 주변 맥락 (광파오븐 포함),1,광파오븐,0.0316
3,이사/생활 주변 맥락 (광파오븐 포함),2,추천,0.0279
3,이사/생활 주변 맥락 (광파오븐 포함),3,아파트,0.0119
3,이사/생활 주변 맥락 (광파오븐 포함),4,실제,0.0111
3,이사/생활 주변 맥락 (광파오븐 포함),5,쿠쿠,0.0105
3,이사/생활 주변 맥락 (광파오븐 포함),6,선택,0.0103
3,이사/생활 주변 맥락 (광파오븐 포함),7,온도,0.0099
3,이사/생활 주변 맥락 (광파오븐 포함),8,설치,0.0099
3,이사/생활 주변 맥락 (광파오븐 포함),9,에어컨,0.0097
3,이사/생활 주변 맥락 (광파오븐 포함),10,전자레인지,0.0097
3,이사/생활 주변 맥락 (광파오븐 포함),11,처음,0.0093
3,이사/생활 주변 맥락 (광파오븐 포함),12,조절,0.0088
3,이사/생활 주변 맥락 (광파오븐 포함),13,내부,0.0087
3,이사/생활 주변 맥락 (광파오븐 포함),14,생각,0.0084
3,이사/생활 주변 맥락 (광파오븐 포함),15,여행,0.0082
4,광파오븐 핵심 사용/구매/레시피,1,광파오븐,0.1014
4,광파오븐 핵심 사용/구매/레시피,2,오븐,0.057
4,광파오븐 핵심 사용/구매/레시피,3,청소,0.0425
4,광파오븐 핵심 사용/구매/레시피,4,전자레인지,0.0265
4,광파오븐 핵심 사용/구매/레시피,5,에어프라이어,0.0258
4,광파오븐 핵심 사용/구매/레시피,6,스팀,0.0235
4,광파오븐 핵심 사용/구매/레시피,7,오브,0.0215
4,광파오븐 핵심 사용/구매/레시피,8,차이,0.0164
4,광파오븐 핵심 사용/구매/레시피,9,베이,0.0152
4,광파오븐 핵심 사용/구매/레시피,10,구매,0.0123
4,광파오븐 핵심 사용/구매/레시피,11,가격,0.0115
4,광파오븐 핵심 사용/구매/레시피,12,디오스,0.0114
4,광파오븐 핵심 사용/구매/레시피,13,컬렉션,0.0109
4,광파오븐 핵심 사용/구매/레시피,14,레인지,0.0097
4,광파오븐 핵심 사용/구매/레시피,15,가요,0.0096
5,,1,설정,0.0482
5,,2,에어프라이어,0.0475
5,,3,광파오븐,0.0338
5,,4,해상도,0.0308
5,,5,음소거,0.0308
5,,6,소리,0.0302
5,,7,자동,0.028
5,,8,기본,0.0235
5,,9,안함,0.0211
5,,10,속도,0.021
5,,11,자막,0.0206
5,,12,도움말,0.0206
5,,13,오븐,0.0171
5,,14,전자레인지,0.0161
5,,15,표시,0.0129
